name,url,phone,street_address,city,state,postal_code,country,latitude,longitude,currency,low_price,high_price,amenities,image_url,nearestShuttleComment,nearestTransitComment
Artix,https://www.apartments.com/artix-seattle-wa/3v4ms5d/,,400 Queen Anne Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 0.6 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
AMLI Wallingford,https://www.apartments.com/amli-wallingford-seattle-wa/sk5j017/,,1850 N 34th St,Seattle,WA,98103,US,,,USD,,,,,Takes 0.9 mins to the nearest Microsoft shuttle stop at N 34th St & Wallingford Ave N,
Marlowe,https://www.apartments.com/marlowe-seattle-wa/7n52vsx/,,1146 Harrison St,Seattle,WA,98121,US,,,USD,,,,,Takes 1.1 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Astro,https://www.apartments.com/astro-seattle-wa/zlt3kyz/,4255332551,315 1st Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 1.1 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Via 6,https://www.apartments.com/via-6-seattle-wa/kcfv0lc/,,2121 6th Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 1.4 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Vibe Apartments,https://www.apartments.com/vibe-apartments-seattle-wa/esgt2vq/,4256589356,3601 Greenwood Ave N,Seattle,WA,98103,US,,,USD,,,,,Takes 1.5 mins to the nearest Microsoft shuttle stop at Phinney Ave N & N 36th St,
Dexter Lake Union,https://www.apartments.com/dexter-lake-union-seattle-wa/94bqjf6/,4255228374,1211-1215 Dexter Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 1.5 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Dimension,https://www.apartments.com/dimension-seattle-wa/01kp2y3/,2064893765,225 Cedar St,Seattle,WA,98121,US,,,USD,,,,,Takes 1.7 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Smith &amp;amp; Burns,https://www.apartments.com/smith-burns-seattle-wa/7ybzqtw/,2064517916,4455 Interlake Ave N,Seattle,WA,98103,US,,,USD,,,,,Takes 1.8 mins to the nearest Microsoft shuttle stop at N 45th St & Stone Way N,
Westlake Steps,https://www.apartments.com/westlake-steps-seattle-wa/9wpsv97/,,1207 Westlake Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 2.4 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Leeward,https://www.apartments.com/leeward-seattle-wa/yqyql2t/,,1305 Dexter Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 2.7 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Ascent South Lake Union,https://www.apartments.com/ascent-south-lake-union-seattle-wa/gg967yx/,,1145 Republican St,Seattle,WA,98109,US,,,USD,,,,,Takes 2.8 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Avalon Belltown Towers,https://www.apartments.com/avalon-belltown-towers-seattle-wa/lqg6zxd/,,210 Wall St,Seattle,WA,98121,US,,,USD,,,,,Takes 3.1 mins to the nearest Microsoft shuttle stop at Cedar St & 2nd Ave,
Chroma,https://www.apartments.com/chroma-seattle-wa/53ysvvn/,4255987727,1212 Harrison St,Seattle,WA,98109,US,,,USD,,,,,Takes 3.2 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Counterbalance Apartments,https://www.apartments.com/counterbalance-apartments-seattle-wa/bmmehb9/,2064960278,315 1st Ave W,Seattle,WA,98119,US,,,USD,,,,,Takes 3.2 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Arriv&amp;#233;,https://www.apartments.com/arrive-seattle-wa/91t6ym4/,,2116 4th Ave,Seattle,WA,98121,US,,,USD,,,,,Takes 3.3 mins to the nearest Microsoft shuttle stop at Lenora St & 6th Ave,
Novi at Queen Anne,https://www.apartments.com/novi-at-queen-anne-seattle-wa/kgz15p9/,,312 2nd Ave W,Seattle,WA,98119,US,,,USD,,,,,Takes 3.4 mins to the nearest Microsoft shuttle stop at Queen Anne Ave N & W Harrison St,
Alcyone,https://www.apartments.com/alcyone-seattle-wa/gxmy4jw/,4255227869,301 Minor Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 3.8 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
Neptune SLU Apartments,https://www.apartments.com/neptune-slu-apartments-seattle-wa/dbk4zzk/,2062225395,912 Dexter Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 3.9 mins to the nearest Microsoft shuttle stop at 1101 Dexter Ave N,
Onni South Lake Union,https://www.apartments.com/onni-south-lake-union-seattle-wa/m93gvph/,,112 Boren Ave N,Seattle,WA,98109,US,,,USD,,,,,Takes 4 mins to the nearest Microsoft shuttle stop at Harrison St & Boren Ave N,
